Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
hbeta_ew_mean,160,32,-1237.692138671875,0.996992826461792,0.0001806900437374,0.9893878479215706,0.0006423006059489
nii_6584_ew_std,160,20,-1294.8509521484375,0.9621580243110656,0.0001410820379562,0.9232598429883998,0.0003224335998506
halpha_ew_std,160,25,-1252.244384765625,0.9670531749725342,0.0001874261902991,0.93807012876875,0.0003830310743624
oiii_5007_ew_std,160,33,-1220.095703125,0.9347060918807985,0.0002100816577544,0.8520336498145523,0.0005723885391419
hbeta_ew_std,160,24,-1278.0543212890625,0.9572246074676514,0.0001526144767804,0.9136382782595822,0.0003326076811455
cov_nii_6584_ew_halpha_ew,160,15,-1404.417724609375,0.96787428855896,7.026680751081954e-05,0.9396552406007878,0.0001494814791412
cov_nii_6584_ew_oiii_5007_ew,160,28,-1448.0166015625,0.9038410782814026,4.914784326491336e-05,0.7731465919817492,0.0001166050160613
cov_nii_6584_ew_hbeta_ew,160,23,-1454.755859375,0.9649531841278076,4.698855106065446e-05,0.9298356538912916,0.0001030268373
cov_halpha_ew_oiii_5007_ew,160,25,-1366.9437255859375,0.9454246759414672,8.160692519880429e-05,0.9114746157925946,0.0001444529131124
cov_halpha_ew_hbeta_ew,160,23,-1366.0428466796875,0.963280439376831,8.777073383123622e-05,0.9277300209514208,0.0001889523055543
cov_oiii_5007_ew_hbeta_ew,160,30,-1388.89501953125,0.9497302174568176,6.818114491293429e-05,0.9135425212352076,0.0001261672827195
nii_6584_ew_mean,1000,33,-1269.1380615234375,0.9913219809532166,0.0001417038541378,0.9693867958148662,0.0005098123970377
halpha_ew_mean,1000,19,-1210.976318359375,0.9966008067131042,0.0002386747554909,0.9892560268949468,0.0007556135591235
