seed,p_energy,p_wasserstein,d_ks2d,d_kl
18544,0.057075000000000015,0.465,0.1335,0.5309967999958225
19171,0.05462500000000001,0.035,0.126,0.54161475816075
10612,0.064675,0.025,0.11900000000000001,0.5625200169515503
10358,0.056775,0.02,0.1405,0.53151445250523
17990,0.0608,0.37,0.12350000000000003,0.5397236009552756
16403,0.056850000000000005,0.345,0.11949999999999997,0.5394998729505882
18239,0.06245,0.15,0.1205,0.5299390254979217
19712,0.05455,0.005,0.138,0.5471181279581986
16098,0.06290000000000001,0.06,0.12250000000000003,0.5386516175334166
16781,0.063075,0.05,0.10899999999999999,0.5222062301546231
11661,0.062875,0.085,0.12549999999999997,0.5388712938056096
10203,0.063075,0.195,0.1385,0.5650693616637398
